Date,0
1972,1.0822856150874818
1973,1.1436000638841806
1974,0.8435232409897377
1975,0.7732337114951
1976,1.0485795791877732
1977,0.9766748911199183
1978,0.9758299190311249
1979,0.9920875316590599
1980,0.8699227270969431
1981,0.8744735834928393
1982,0.8030564417529362
1983,0.9083513520492015
1984,1.0247610662187252
1985,0.921393996324189
1986,0.9189990163428818
1987,0.9382453313489483
1988,0.9903076241351291
1989,0.9529370322306797
1990,0.8481059368834447
1991,0.8373820944932265
1992,0.8513396721777243
1993,0.8410655025806769
1994,0.8828156350535976
1995,0.8926633791135878
1996,0.9160777299624222
1997,0.9092104975600596
1998,0.8943724810379707
1999,0.9282098235763944
2000,0.9433796080278045
2001,0.9143698086551696
2002,0.9333062278105746
2003,0.9639454593682755
2004,1.0054276703108795
2005,1.016730829476564
2006,1.0454024941626532
2007,1.0710823832500656
2008,1.0499062559284873
2009,1.0008588316855684
2010,1.1317770207285207
2011,1.1360239978883504
2012,1.1624275628882368
2013,1.1818910971887433
2014,1.2117335755300824
2015,1.238664404326631
2016,1.2724917240389468
2017,1.3135891864389067
2018,1.3451694676764467
2019,1.3501970205408094
2020,1.2863015697684077
