Year,Projected size of the global autonomous car market (USD billion),Estimated worldwide motor vehicle production (millions) ,CB insights- Amount of global funding deals dollars to auto tech startups (in million USD),CB insights - Number of global deals to auto tech startups,CB insights-Funding to autonomous vehicle tech startups (million USD),CB insights-Number of deals to autonomous tech startups,US electric vehcles sales 2011-2019 ,Projected sales of autonomous vehicles worldwide from 2019 to 2030 (million),Unit sales of social and entertainment robots worldwide from 2015 to 2025 (in millions),Unit cost of industrial robtot over time (USD),VC activities in autonomous cars (number of deals) (visual estiamate),Collaborative robtot sales forecast (unit per year) (Visual estimation),Global market for industrial and non-industrial robots,Estimated share of newly registered car with (Lv.0) no autonomous driving  (visaul estimation on chart) (percentage),Estimate share of newly registered car with (Lv.2) assisted autonomous driving (percentage) (visual estimation),"Estimated annual worldwide supply of industrial robots 2009-2017, forcast 2018-2021 ( in 1000 units)",Estimate operational stock of industrial robots at a year-end in Republic of Korea in 1000 units,Estimate number of Internet of things(IoT) connected devices worldwide  (billion),Number of papers on social robtot navigation over years (visual estimate),Annual increase in number of vehicles equipped with hardware for fully autonomous driving,Global annual installations of industrial robots (1000units),Industrial robtot items pick and place per hour improvement (unit) (visual estimate),Annual volumn of data generated from connected autonomous vehicle ( in PBs),Fully autonomous car shipment forcast in the US (1000 units),Fully autonomous car shipment forecast in the world (1000 units),Estimated global installed based of cars with self-driving features (All levels) (millions car on the road) (visual estimate),Percentage of driver afraid to drive in fully autonomous vehicle,Number of accident reported in autonomous vehicle over years,LIDAR sensor technology prices over years (USD logarithmic scale),Asia pacific automotive sensor volumn forecast (annual growth rate),worldwide annual supply of industrial robots (1000 units) 2016-2019 forcast,Global self driving minutes forecast (billions),Number of patent application of autonomous vehicles over years
2019,0.8840792369772561,1.1948051948051948,4.7062476044461485,2.5049773755656117,5.681423948220065,2.8617283950617285,3.307796599095052,0.15242242787152965,0.9361022364217253,1.8334532843736815,3.053333333333334,2.1363636363636362,0.7043769331807975,0.6410256410256411,1.4666666666666666,1.905511811023622,1.9834498834498833,0.4961538461538461,1.5292144748455427,0.7404379484122925,1.5078740157480315,3.03125,1.8509506636370838,0.40150093808630394,3.0403422982885084,2.1,1.0070422535211268,1.25,1.8333333333333335,0.7171717171717171,2.4939759036144578,,2.5642045454545452
2020,0.8558327219369037,1.0129870129870129,5.640551935607514,2.9104072398190053,6.8605825242718455,3.3654320987654325,3.2385674563634033,0.2133913990201415,1.0,1.9549200751847546,3.554285714285715,3.6396363636363636,0.8808948773357062,0.6153846153846154,1.7333333333333334,2.177165354330709,2.131235431235431,0.5602564102564103,1.9115622241835835,0.8688289794992461,1.4803149606299213,3.7187499999999996,2.6144361832369336,0.5590994371482176,6.71638141809291,5.0,1.0269033646322376,1.1458333333333335,2.75,0.8181818181818181,2.259208261617901,,2.7654283216783213
2021,1.0,1.2826221397649968,6.574856266768877,3.315837104072399,8.039741100323624,3.869135802469136,3.608441460621341,0.30048992923244416,1.1501597444089458,2.0763868659958282,4.055238095238096,3.6588484848484852,1.1191051226642938,0.3067765567765569,1.9047619047619042,24.84251968503937,2.279020979020979,0.6455128205128204,1.6782700794351288,1.131171020500754,1.8108088761632075,4.40625,2.830961835720394,0.799249530956848,6.442621004102271,5.180000000000001,1.0269990155989699,1.0833333333333335,2.118549377116595,0.9191919191919191,2.390705679862307,,2.966652097902098
2022,1.1683785766691122,1.3087648282453477,7.509160597930242,3.721266968325793,9.218899676375406,4.37283950617284,3.9783154648792785,0.42133913990201416,1.3226837060702874,2.197853656806901,4.556190476190477,4.2991861471861474,1.4004491335112919,0.13919413919413942,2.103968253968253,40.705107493136325,2.426806526806527,0.7416666666666666,1.7799534622482556,1.420207631849338,1.9346098783106664,5.093749999999999,3.2963848545367416,1.200750469043152,7.7561831453049095,6.340000000000001,1.0270946665657021,1.0208333333333337,2.305174813394154,0.9696969696969696,2.522203098106713,,3.1678758741258743
2023,1.3653705062362436,1.3349075167256985,8.443464929091608,4.126696832579187,10.398058252427186,4.8765432098765435,4.348189469137216,0.5900925421883505,1.4536741214057507,2.3193204476179745,5.057142857142858,4.939523809523809,1.4673991138717208,-0.028388278388278065,2.3031746031746025,58.677251203113904,2.5745920745920743,0.8429487179487178,1.8816368450613825,1.6584416046543695,2.0584108804581254,5.78125,3.7618078733530886,1.598499061913696,9.069745286507548,7.500000000000001,1.0271903175324342,0.9583333333333337,2.4918002496717127,1.02020202020202,2.6537005163511194,,3.3690996503496504
2024,1.4372707263389584,1.3610502052060494,9.377769260252972,4.532126696832581,11.577216828478964,5.3802469135802475,4.718063473395154,0.8285247686445291,1.6134185303514377,2.440787238429048,5.558095238095239,5.579861471861473,1.650763309387944,-0.19597069597069539,2.502380952380952,76.64939491309147,2.722377622377622,0.946153846153846,1.9833202278745101,1.927575864057777,2.1822118826055843,6.46875,4.227230892169437,1.9212007504690432,10.383307427710186,8.66,1.0272859684991664,0.8958333333333339,2.6784256859492714,1.0404040404040404,2.7851979345955256,,3.570323426573426
2025,1.5647835656639768,1.3871928936864,10.312073591414336,4.937556561085974,12.756375404530745,5.8839506172839515,5.0879374776530915,1.1714752313554708,1.7603833865814695,2.9270449521002213,6.059047619047621,6.2201991341991345,1.7743315961188086,-0.3635531135531127,2.701587301587301,94.62153862306906,2.87016317016317,1.0538461538461539,2.0850036106876364,2.1866898766659024,2.3060128847530432,7.156249999999999,4.692653910985784,2.1350844277673544,11.696869568912824,9.820000000000002,1.0273816194658987,0.8333333333333339,2.8650511222268307,1.0606060606060606,2.9166953528399318,0.04697624190064795,3.7715472027972026
2026,1.692296404988995,1.4133355821667508,11.246377922575702,5.342986425339369,13.935533980582525,6.3876543209876555,5.457811481911029,1.6298312465977136,1.8090037757769393,2.6837208200511946,6.560000000000001,6.860536796536797,2.01749170042039,-0.5311355311355304,2.9007936507936503,112.59368233304663,3.017948717948718,1.1634615384615383,2.1866869935007633,2.445803889274028,2.429813886900502,7.84375,5.158076929802132,2.413160010720986,13.010431710115464,10.98,1.0274772704326312,0.7708333333333339,3.05167655850439,1.0404040404040404,3.0481927710843384,0.14362850971922247,3.9727709790209786
2027,1.8198092443140137,1.4394782706471017,12.180682253737064,5.748416289592762,15.114692556634303,6.891358024691359,5.827685486168966,2.287425149700599,1.9274760383386589,2.8051876108622684,7.060952380952383,7.50087445887446,2.2008558959366127,-0.6987179487179477,3.0999999999999996,130.56582604302417,3.1657342657342658,1.2762820512820512,2.288370376313891,2.704917901882154,2.553614889047961,8.53125,5.62349994861848,2.7034307156258373,14.323993851318102,12.14,1.0275729213993627,0.7083333333333344,3.2383019947819487,1.02020202020202,3.179690189328744,0.29265658747300216,4.173994755244755
2028,1.9473220836390324,1.4656209591274527,13.114986584898428,6.153846153846155,16.293851132686083,7.395061728395062,6.1975594904269045,3.208492106695699,2.045948300900378,2.926654401673342,7.5619047619047635,8.141212121212122,2.384220091452836,-0.8663003663003652,3.2992063492063486,148.5379697530018,3.313519813519813,1.392307692307692,2.390053759127018,2.9640319144902794,2.6774158911954196,9.21875,6.088922967434826,2.993701420530688,15.63755599252074,13.3,1.0276685723660952,0.6458333333333339,3.424927431059508,1.0101010101010102,3.311187607573151,0.48488120950323976,4.375218531468532
2029,2.0748349229640506,1.4917636476078036,14.049290916059796,6.55927601809955,17.473009708737866,7.898765432098767,6.567433494684841,4.50081654872074,2.1644205634620977,3.0481211924844147,8.062857142857144,8.781549783549785,2.567584286969059,-1.0338827838827827,3.4984126984126975,166.51011346297938,3.461305361305361,1.5108974358974359,2.491737141940145,3.2231459270984057,2.801216893342879,9.906249999999998,6.554345986251174,3.2839721254355396,16.951118133723377,14.46,1.0277642233328277,0.5833333333333348,3.6115528673370667,0.98989898989899,3.442685025817557,0.7197624190064795,4.576442307692307
2030,2.202347762289069,1.5179063360881542,14.983595247221158,6.964705882352943,18.652168284789646,8.40246913580247,6.937307498942779,6.314643440391943,2.282892826023817,3.1695879832954876,8.563809523809526,9.421887445887446,2.7509484824852817,-1.2014652014651999,3.697619047619046,184.48225717295693,3.6090909090909085,1.6307692307692307,2.593420524753272,3.482259939706532,2.9250178954903374,10.59375,7.019769005067521,3.5742428303403906,18.264680274926015,15.620000000000001,1.0278598742995593,0.5208333333333339,3.798178303614626,1.1360575451484547,3.574182444061963,1.0,4.777666083916083
2031,2.3298606016140875,1.5440490245685048,15.917899578382523,7.370135746606337,19.831326860841422,8.906172839506173,7.307181503200717,4.972484782501114,2.4013650885855364,3.2910547741065614,9.064761904761907,10.062225108225109,2.9343126780015045,-1.3690476190476175,3.8968253968253954,202.4544008829345,3.756876456876457,1.7036519036519033,2.695103907566399,3.741373952314657,3.0488188976377963,11.28125,7.485192023883869,3.864513535245242,19.578242416128653,16.78,1.0279555252662913,0.4583333333333348,3.9848037398921847,1.1665724847543038,3.705679862306369,1.3293736501079914,4.9788898601398595
2032,2.457373440939106,1.5701917130488559,16.85220390954389,7.775565610859732,21.010485436893205,9.409876543209878,7.677055507458654,5.460316493522809,2.519837351147256,3.412521564917635,9.565714285714288,10.702562770562771,3.117676873517728,-1.5366300366300352,4.096031746031745,220.42654459291208,3.9046620046620046,1.8085694220309605,2.7967872903795254,4.000487964922783,3.1726198997852553,11.968749999999998,7.950615042700218,4.154784240150094,20.891804557331294,17.94,1.0280511762330233,0.3958333333333339,4.1714291761697435,1.1970874243601524,3.837177280550775,1.6690064794816415,5.180113636363636
2033,2.584886280264124,1.5963344015292065,17.786508240705253,8.180995475113125,22.189644012944985,9.91358024691358,8.046929511716591,5.948148204544504,2.638309613708975,3.533988355728708,10.066666666666668,11.342900432900434,3.3010410690339507,-1.7042124542124524,4.295238095238094,238.39868830288967,4.0524475524475525,1.9134869404100172,2.8984706731926524,4.259601977530908,3.2964209019327146,12.65625,8.416038061516563,4.445054945054944,22.205366698533936,19.1,1.0281468271997563,0.3333333333333348,4.358054612447303,1.2276023639660014,3.9686746987951818,2.019438444924406,5.381337412587412
2034,2.7123991195891426,1.6224770900095575,18.720812571866617,8.586425339366519,23.36880258899676,10.417283950617286,8.416803515974529,6.435979915566199,2.756781876270695,3.6554551465397815,10.56761904761905,11.983238095238097,3.484405264550174,-1.8717948717948698,4.494444444444444,256.3708320128672,4.2002331002331,2.018404458789074,3.00015405600578,4.518715990139034,3.420221904080173,13.34375,8.881461080332912,4.735325649959796,23.51892883973657,20.26,1.0282424781664883,0.2708333333333348,4.544680048724862,1.25811730357185,4.1001721170395875,2.3812095032397407,5.582561188811188
2035,2.8399119589141613,1.6486197784899081,19.655116903027984,8.991855203619913,24.547961165048545,10.920987654320989,8.786677520232466,6.923811626587893,2.875254138832414,3.776921937350855,11.068571428571431,12.623575757575757,3.6677694600663964,-2.039377289377287,4.693650793650792,274.3429757228448,4.348018648018648,2.123321977168131,3.1018374388189063,4.7778300027471605,3.5440229062276316,14.031249999999998,9.346884099149259,5.025596354864646,24.832490980939205,21.42,1.0283381291332203,0.2083333333333348,4.731305485002421,1.2886322431776986,4.231669535283994,2.7548596112311015,5.783784965034965
