Date,0
1981,0.9285869647864029
1982,1.00590153641949
1983,0.9427709828499116
1984,0.9473006313795765
1985,0.9427012915777417
1986,1.0233829556379337
1987,1.0228254582991212
1988,0.9864879997583742
1989,0.9719928207198035
1990,1.0051071273982348
1991,1.0366776061569407
1992,1.063897332172366
1993,1.0991591480132523
1994,1.1232624994109184
1995,1.085873936672859
1996,1.0623590812344168
1997,1.0827337249881117
1998,1.1388442259689326
1999,1.1220428640615767
2000,1.0435723192758413
2001,1.036700693521953
2002,1.0536479608584797
2003,1.057768416092108
2004,0.9939855570766238
2005,0.9857777492862596
2006,0.9901009961196529
2007,0.9858506359632137
2008,1.0192793653685552
2009,1.04295235257458
2010,1.069696720171308
2011,1.0896996716503629
2012,1.1007500918122037
2013,1.1763915510163576
2014,1.238796601833147
2015,1.2698897840131054
2016,1.261782904108724
