Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Alternative and nuclear energy (% of total energy use),Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Capture fisheries production (metric tons),Cereal production (metric tons),Cereal yield (kg per hectare),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Coal rents (% of GDP),Combustible renewables and waste (% of total energy),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)","Energy imports, net (% of energy use)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),Land area (sq. km),Land under cereal production (hectares),Methane emissions (kt of CO2 equivalent),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Mineral rents (% of GDP),Natural gas rents (% of GDP),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Oil rents (% of GDP),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Permanent cropland (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total fisheries production (metric tons),Total greenhouse gas emissions (kt of CO2 equivalent),Total natural resources rents (% of GDP),Urban population,Urban population (% of total population),Urban population growth (annual %),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
2000,49.40134813,78.73606533,37.25006176,47371524.5,3170820,1908130,9.051321315,41724569.75,10.54076375,0.22082578,94763862.7,2052236042,3090.167941,0.466240757,23311805.66,3.812649312,20.66206566,4827174.822,39.73517064,9274895.74,37.90137342,9116380.54,2.391463476,0.072279316,8.933036434,38.63553112,16.8079803,17.74661843,16.71299718,7.30292011,63.68506966,1.400554277,2.17095E+11,-2.802948953,92.57367821,101.7702464,31.17069019,40556022.3,0.142072959,79.78384868,129765381.7,664116833,6859450,2317220,0.073318747,0.322342347,2485920,254550,1.465134057,-1014675.302,1.052674749,45.93538457,95.21341504,47.11836421,16.73776115,20.28062849,39.66155179,18.33315487,17.8993922,,,3258670378,53.31067752,0.604607978,131553720.3,,,136488432.5,32781530,2.075147426,2853933204,46.68932248,2.159148997,
2001,50.20578434,78.22165842,37.26391853,47388728.35,3169360,1923460,9.055738192,44324822.72,10.52164633,0.217612914,91957971.44,2092333018,3159.760094,0.465067204,23707262.47,3.827658881,20.43891516,4855798.648,39.37716075,9337217.626,37.44535118,9164295.338,2.40394125,0.148730357,8.725073516,38.44754518,16.30936394,18.58980381,16.88742725,7.050491353,64.08784035,1.437081686,2.24461E+11,-3.267566458,92.52847351,103.980871,31.13581978,40510303.3,0.135492794,80.03830701,129764265.9,662178609,6913060,2388720,0.06222699,0.40179735,2498020,254220,1.09436814,-935119.8313,1.071198498,,,47.73017942,16.67189808,20.49050226,,17.86959113,17.60150667,,,3273211765,52.86245341,0.446236818,131554116.5,,,136282794.2,33235280,1.842615631,2918728928,47.13754659,2.27040086,20.96494204
2002,50.81438611,79.39760703,37.19058706,47294657.11,3190660,1960710,9.009325182,47375084.71,10.49629534,0.214362156,92313232.59,2043524367,3133.145863,0.46186121,24054448.08,3.834751351,20.6988049,4990227.147,38.47180995,9251973.974,38.61968135,9597917.96,2.391098164,0.088883931,8.631589704,38.75108611,16.10636024,19.13313047,16.39338862,6.730962426,64.61517901,1.560385264,2.53263E+11,-1.943849955,94.97736473,108.2236475,31.10120443,40464584.1,0.144859048,80.0570412,129762074.9,652227436,6973040,2435040,0.062619485,0.267539443,2536790,254160,1.079533952,-994160.2092,1.081796566,,,48.34041852,16.6031037,20.66377532,,17.78865441,17.61837319,7002.594463,43386.7481,3283742704,52.36377534,0.321731063,131554542.5,,,139688317.3,33702380,1.643435859,2987277082,47.63622466,2.348561846,14.74344554
2003,51.40701236,80.00876536,37.06970284,47140891.54,3189450,1956820,8.697014644,50271407.72,10.52574637,0.212299928,89559026.5,2063505222,3132.2939,0.468945276,25143943.85,3.958502744,20.60269334,5188889.052,37.8254592,9504281.937,39.80665497,10342749.1,2.41203395,0.082380739,8.476132002,39.83135089,15.60845559,19.41647651,15.66491911,6.579393349,65.82722075,1.651618728,2.77856E+11,-2.433599437,94.91598478,110.6465206,31.06608993,40418865.2,0.166936626,80.55352271,129761969.4,658780168,7062720,2532650,0.06143389,0.326655403,2542580,256260,1.195065082,-1054315.514,1.100761171,,,48.95026189,16.53035481,20.84410934,,17.37855417,17.43409821,,,3293322215,51.86214245,0.291725384,131554944,,,139830434.2,34882860,1.832471739,3056824649,48.13785755,2.328125751,
2004,52.05722365,80.16051425,36.74264383,46771835.36,3243990,2016030,8.702727836,54570314.09,10.5463107,0.210305064,94176615.32,2273990004,3395.286064,0.470147825,26319528.22,4.092251662,20.23400545,5336288.716,37.12226213,9762400.277,40.74908025,11072915.95,2.417274571,0.303710562,8.199384157,39.3801858,15.89318729,19.94480174,15.56044639,6.170968653,65.49595619,1.796905426,3.16183E+11,-2.732500778,94.18494724,117.0742212,31.03136289,40373146,0.133728159,80.65153869,129889503.5,669746976,7168060,2597660,0.106578707,0.361894688,2613880,257210,1.576262142,-983638.6987,1.124634218,,,49.51556166,16.45715732,21.02829847,,17.80971628,17.09722966,,,3302116984,51.35633834,0.267048543,131585057.5,,,148746929.4,36252860,2.482174258,3127696928,48.64366166,2.318493441,
2005,52.66873272,80.16144761,36.81362588,46862188.37,3272710,2023940,8.628643216,57820199.22,10.55794693,0.207958867,93697962.79,2252079376,3313.527319,0.469794121,27325257.18,4.196301213,20.06218106,5496794.564,35.84067502,9789612.268,41.6120081,11737552.21,2.441198285,0.252150751,8.100153669,39.85590955,15.89751383,20.15016173,15.07976042,5.751611886,65.75768317,1.957531762,3.59313E+11,-3.198112733,93.56161036,117.3731997,30.99623804,40327427,0.131106334,80.72447732,129889492.3,679661225,7225520,2638530,0.197888559,0.38902583,2625710,257480,2.192068609,-942737.6278,1.147271417,48.36378353,95.43798333,50.13298735,16.38511715,21.21853073,35.51056305,17.97509024,17.04344248,,,3310170077,50.84740223,0.243876672,131587017.6,,,151518162,37346260,3.162240083,3199838164,49.15259777,2.306528978,20.19654107
2006,53.41455428,81.25109416,36.82694579,46914799.09,3301930,2053490,8.563774014,61591980.13,10.53655406,0.204907518,91237774.26,2251391927,3342.902915,0.464933917,28223539.05,4.281006432,19.84046744,5621251.566,34.87629248,9826007.546,42.78846131,12444151.7,2.450543777,0.266906616,8.040687426,40.51456581,15.87425063,20.50255003,14.64082138,5.067476154,66.08459199,2.125917602,4.05335E+11,-3.163015494,94.98448176,120.1821681,30.97123082,40293287.6,0.141011975,80.83571448,129885400.6,673481951,7359290,2734560,0.352454575,0.410825525,2658770,259340,2.396760367,-937695.9435,1.169305254,,,50.75808772,16.32595622,21.41585234,,18.11623199,17.12126069,,,3318341311,50.3467074,0.246852392,131587353.6,,,152829754.4,38444310,3.567959058,3272638472,49.6532926,2.275124687,
2007,54.06015212,82.20470557,36.78765955,46868683.9,3335870,2105280,8.265278235,64937295.56,10.52387541,0.202145639,91558656.42,2342481223,3411.533579,0.462875227,29312213.5,4.39186678,19.85455074,5841716.04,33.33359993,9765944.269,41.9226512,12674319.25,2.478249101,0.296124287,7.89181363,41.13753845,15.40203613,21.1955852,13.67004323,4.871037107,67.20416076,2.349888148,4.67437E+11,-2.202205628,93.72470215,126.4603806,30.94502979,40259147.7,0.167743825,81.19416166,129885204.2,686633980,7473250,2808920,0.531129058,0.371560093,2710520,261060,2.258842596,-919309.1874,1.195332709,,,51.38540405,16.26649635,21.61559683,,17.88139672,16.90830508,6575.900077,43392.1551,3326573669,49.85547394,0.248086536,131587462.7,,,156495952,39738280,3.625399858,3345860486,50.14452606,2.237400025,16.68642053
2008,54.75274636,82.28431997,36.72872186,46783694.02,3352150,2099790,8.326465256,68799079.9,10.52824567,0.199779169,90694759.55,2517239224,3579.353353,0.458500664,29574920.78,4.376917216,20.19752456,5997793.075,33.49250821,9889653.017,44.47579682,13544485.52,2.465742329,0.817894116,7.856505976,40.63461238,15.73833215,21.59550651,13.48281134,4.59765354,66.82777243,2.680687281,5.43399E+11,-2.95701033,94.15738056,119.9746223,30.92260522,40225008.7,0.176865219,81.05485546,129869133.2,703264965,7585770,2903010,0.560178639,0.496960076,2696680,263100,2.933415277,-827537.3077,1.207390731,,,52.02945966,16.23659174,21.83632595,,18.55474759,17.03502908,,,3333764347,49.35081573,0.216158688,131786929.8,,,159493839.5,40139260,4.985313327,3421472215,50.64918427,2.25985899,
2009,55.32249011,82.76505535,36.70798829,46756685.29,3346350,2102300,8.415198435,73045256.33,10.53049465,0.197425306,90266893.42,2487936013,3601.000893,0.461207341,29253757.51,4.27713137,20.05727094,5889266.339,33.49770565,9779347.171,42.78047845,12890794.95,2.454112131,0.352538214,7.955054938,40.01759804,16.0703451,21.91410876,13.351591,4.183404095,66.11511089,3.128802817,6.31821E+11,-2.891887649,98.28189394,117.9579986,30.89674808,40190869.1,0.16966847,80.61346858,129867501.5,690900518,7591370,2909880,0.315112371,0.324010695,2694510,261900,1.622635773,-824640.8956,1.225896015,,,52.66578748,16.21330775,22.06858276,,19.33418182,17.5116086,,,3340312839,48.85087112,0.196429361,131784601.7,,,163312149.8,39846770,2.783965523,3497462540,51.14912888,2.220983256,
2010,56.06480561,83.29997202,36.72134385,46774506.6,3367470,2140800,8.258011323,78020019.87,10.53359571,0.195155954,88855994,2465408342,3592.828556,0.469022829,31031799.04,4.483147956,20.35719526,6348233.053,32.25263482,9986727.157,44.33387287,14171057.36,2.467056502,0.553317732,7.730673751,40.10961909,15.88130247,22.39044292,12.79410116,3.812396947,66.31245895,3.552995335,7.65437E+11,-2.095010917,91.25381225,130.1477892,30.86996409,40156729.7,0.177294973,80.77812583,129869706.7,686200354,7704390,2993520,0.609444737,0.246967805,2741480,267820,2.121938525,-750161.841,1.249388375,50.25195331,95.14474224,53.29862712,16.17710756,22.30160551,33.16848118,19.56099755,17.25519195,,,3346106752,48.35369801,0.173454203,131784828.8,,,166876013.9,41817500,3.708963772,3573957057,51.64630199,2.187143282,
2011,56.63224018,82.11274711,36.93198458,47959422.12,3421190,2221570,7.938524972,82635398.2,10.60598359,0.196065669,93180835.75,2584333349,3711.291884,0.469051065,32004027.85,4.570123103,20.153891,6480915.636,31.17864711,9955128.286,45.80278235,15074125.45,2.506056686,0.732394929,7.600187845,41.00099907,15.70351349,21.97181041,11.61067049,4.021047175,66.99385666,4.098179358,9.11584E+11,-3.129742467,94.11688135,135.3720304,30.84438914,40123639.2,0.172800794,81.2305623,129870230.2,696342918,7807040,3042050,0.73113196,0.354116963,2834570,270990,2.817688266,-706229.7824,1.250744834,50.77086105,95.77328961,53.92214139,16.14322215,22.50200246,,19.93282502,17.20977103,,,3353219694,47.89593722,0.212573672,134273091.1,,,175816234,43022060,4.808132911,3647832769,52.10406278,2.06705651,
2012,57.24297952,84.73835469,36.93019909,47955059.53,3439240,2231950,7.745533184,90020572.65,10.66887986,0.194916922,90512336.66,2566124436,3621.416435,0.463815174,32444191.55,4.578768146,20.21611833,6587834.083,31.33201235,10133811.41,45.85610207,15291329.4,2.492766598,0.426850811,7.572603868,40.27716002,16.06183893,22.39041411,10.81754905,4.15598584,66.82355997,4.695463989,1.06791E+12,-2.733412954,93.58124583,131.8961506,30.81984683,40090560.5,0.173456386,81.16535015,129864695.5,708597049,7869970,3079330,0.443228245,0.369488514,2847630,272720,2.697386562,-485433.2066,1.265109231,47.53283944,94.47368856,54.56286954,16.12810794,22.69065426,,20.90153641,17.47623659,6072.400063,42809.1551,3360960853,47.44475336,0.230857495,134302036.2,,,180532909.3,43582450,4.110410519,3722985467,52.55524664,2.060201296,18.24607292
2013,57.84581357,85.01886552,36.87101699,47877732.99,3405660,2208840,7.913614123,97110166.78,10.68044517,0.19284648,91753926.83,2770739457,3824.244302,0.460235448,33053846.52,4.610229279,20.17082806,6695602.946,30.98100577,10206649.22,44.5692465,15147056.19,2.507484066,0.294111594,7.57845612,41.04493004,16.1479035,21.49070068,10.58606653,3.783812528,66.31944325,5.410807292,1.26713E+12,-3.067184777,93.99923131,134.5540279,30.79467396,40057482,0.17320541,80.94272897,129863403.1,724518874,7880460,3117610,0.398174707,0.353064021,2838990,278740,2.447328071,-450855.0173,1.273870893,47.94744361,93.73290738,55.20935864,16.11569581,22.88560834,,21.71034584,17.69905686,,,3368456840,46.99415642,0.223031071,134543260.1,,,188864093.6,44233530,3.665883803,3799363782,53.00584358,2.051534063,
2014,58.34867283,85.53775446,36.8799345,47889155.74,3427420,2234500,8.134738484,101084799.1,10.6879313,0.1907315,92360622.69,2822322838,3896.887603,0.4478011,33085191.98,4.560774243,20.33642677,6757742.725,31.43479135,10367135.39,44.43513271,15119315.38,2.48410623,0.235535734,7.463666814,40.48804654,16.2438749,21.59760978,10.60737579,3.547838574,65.63349489,6.006730506,1.4357E+12,-2.459859394,92.5619354,137.9942859,30.76956804,40024403.3,0.191306417,80.91140772,129862977.9,724249847,7957650,3144320,0.274263778,0.29405404,2881840,281810,2.131108844,-611613.6637,1.27588672,45.94374997,92.66619531,55.86113121,16.11066816,23.08977669,29.62553138,22.40725845,17.87018404,,,3375411733,46.54171351,0.206471192,134546248.6,,,193445421.8,44438190,3.126268814,3877032326,53.45828649,2.044251313,59.83817905
2015,58.8348011,86.56355216,36.71498528,47681467.6,3442060,2241760,13.35408278,106004183.8,10.70672438,0.188885385,93736944.84,2851573171,3920.34758,0.433236044,32943427.78,4.488770091,20.61821208,6887191.687,31.50580968,10475563.03,44.53543342,14867564.51,2.263611904,0.157691589,3.935214174,39.16759493,15.89844456,22.78881823,8.117981958,3.279625776,65.23603894,6.765608919,1.64454E+12,20.9690425,88.62322181,135.8314412,30.74426441,39991324.6,0.18415818,79.67629802,129880684.5,727377783,8021410,3165590,0.17505935,0.238890839,2904970,286110,0.95517058,-638109.5963,1.28587308,47.2308656,92.59309556,56.50629793,16.10887694,23.31094213,,22.85445608,18.05375499,,,3381396334,46.08532004,0.177299881,134548896.5,,,199741128.6,44423270,1.710970537,3955856259,53.91467996,2.033099711,
2016,59.34067143,87.71445552,36.70122139,47691466.94,3465770,2263530,,,10.76475407,0.18723915,,2940242868,4009.231276,0.422198819,32940650.08,4.436759079,21.12403374,7056781.134,31.51604845,10482497.57,43.21468887,14437590.8,,0.162338594,,,,,,,,,,,90.59523012,138.1559634,30.71642094,39958245.9,0.194011995,,129956634.1,733367261,8068580,3173140,0.196806945,0.145242574,2934600,286950,0.801204122,-686834.7647,1.293708711,45.15637995,91.314668,57.13047888,16.10803616,23.53856691,,,,,,3386902997,45.62916685,0.162851747,134549738.3,13.34857028,14.40316781,,44550150,1.499604231,4035768126,54.37083315,2.02009026,
2017,,88.60203383,37.00841264,48088210.03,3505600,2306980,,,10.83125176,0.186365136,,3022177937,4114.052902,0.413885118,33351608.09,4.441308582,,,,,,,,0.2145585,,,,,,,,,,,91.33932426,138.9393373,,,0.200570651,,129956069.1,734598109,8137390,3180470,0.249623128,0.186112286,2986520,288710,1.096707509,,1.316979204,45.52855865,91.29771981,57.78422108,16.11240799,23.76591698,,,,5732.012611,42808.3431,3391638218,45.17616876,0.139809761,134553172.4,14.33943181,14.5747298,,45117640,1.947572074,4115944438,54.82383124,1.986643174,20.63052571
2018,,89.41901425,36.90352074,47953427.48,3513570,2296270,,,10.82516976,0.18422844,,2964932598,4070.667048,0.410001185,34041045.97,4.483523912,,,,,,,,0.240893315,,,,,,,,,,,90.37083247,136.8242318,,,0.164093675,,129949282.7,728365199,8174420,3187680,0.231513306,0.289288704,2984340,290360,1.508884125,,1.320326591,,,58.42645266,16.12673844,24.00821915,29.24466075,,,,,3395164032,44.72828991,0.103956076,134542704.1,14.33945227,14.57480048,,45873850,2.434673125,4195477234,55.27171009,1.932309758,
2019,,90.08403052,,,,,,,,,,,,,,,,,,,,,,0.180417607,,,,,,,,,,,,,,,0.139165618,,,,,,0.181660015,0.222073762,,,1.295572081,,,,,,16.11612854,24.21689133,,,,,,3397375496,44.28556738,0.065135704,,,,,,2.018889082,4274143015,55.71443262,1.875013893,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11189555,24.43421486,,,,,,3398794081,43.84959941,0.04175532,,,,,,,4352232429,56.15040059,1.827019211,
